Movie,Calification,N.Reviews,Year,Duration,Rating
Ben-Hur,8.1,253K,1959,212,A
El gran hotel Budapest,8.1,884K,2014,99,13
Barry Lyndon,8.1,183K,1975,185,18
Perdida,8.1,1.1M,2014,149,16
Hasta el último hombre (Hacksaw Ridge),8.1,591K,2016,139,16
La quimera del oro,8.1,118K,1925,95,A
Memories of Murder (Crónica de un asesino en serie),8.1,215K,2003,131,18
En el nombre del padre,8.1,187K,1993,133,13
El club de los poetas muertos,8.1,543K,1989,128,13
La ley del silencio,8.1,164K,1954,108,7
El maquinista de La General,8.1,98K,1926,78,A
El cazador,8.1,361K,1978,183,18
Relatos salvajes,8.1,216K,2014,122,16
Mad Max: Furia en la carretera,8.1,1.1M,2015,120,16
"Monstruos, S.A.",8.1,976K,2001,92,A
El moderno Sherlock Holmes,8.2,57K,1924,45,A
El tercer hombre,8.1,181K,1949,104,A
Fresas salvajes,8.1,115K,1957,91,7
El salario del miedo,8.2,66K,1953,131,18
Tiburón,8.1,658K,1975,124,16
Cómo entrenar a tu dragón,8.1,798K,2010,98,7
Mary and Max,8.1,186K,2009,92,13
Caballero sin espada,8.1,121K,1939,129,A
Ratatouille,8.1,821K,2007,111,A
Le Mans '66,8.1,469K,2019,152,7
El gran Lebowski,8.1,858K,1998,117,13
La habitación,8.1,449K,2015,118,13
El séptimo sello,8.1,198K,1957,96,13
Cuentos de Tokio,8.1,68K,1953,136,A
Rocky,8.1,627K,1976,120,18
Logan,8.1,828K,2017,137,16
Spotlight,8.1,501K,2015,129,13
Hotel Rwanda,8.1,371K,2004,121,13
Platoon,8.1,438K,1986,120,18
Terminator,8.1,922K,1984,107,18
La pasión de Juana de Arco,8.1,60K,1928,110,13
Antes del atardecer,8.1,287K,2004,80,13
El odio,8.1,196K,1995,98,18
Los mejores años de nuestra vida,8.1,70K,1946,170,A
El exorcista,8.1,454K,1973,122,13
Piratas del Caribe: La maldición de la Perla Negra,8.1,1.2M,2003,143,7
Rush,8.1,512K,2013,123,13
Jai Bhim,8.7,217K,2021,164,13
"Network, un mundo implacable",8.1,170K,1976,121,18
Cuenta conmigo,8.1,440K,1986,89,A
El mago de Oz,8.1,428K,1939,102,A
Los Increíbles,8.0,806K,2004,115,A
Siempre a tu lado (Hachiko),8.1,310K,2009,93,A
La doncella,8.1,172K,2016,145,16
Hacia rutas salvajes,8.1,657K,2007,148,7
Mi padre y mi hijo,8.2,92K,2005,112,13
Sonrisas y lágrimas,8.1,260K,1965,172,A
Las uvas de la ira,8.1,100K,1940,129,A
La batalla de Argel,8.1,65K,1966,121,18
Ser o no ser,8.1,43K,1942,99,A
Atrapado en el tiempo,8.0,683K,1993,101,13
Amores perros,8.1,252K,2000,154,18
Rebeca,8.1,146K,1940,130,16
La leyenda del indomable,8.1,188K,1967,127,7
El gigante de hierro,8.1,226K,1999,86,A
Criadas y señoras,8.1,491K,2011,146,A
Sucedió una noche,8.1,112K,1934,105,A
Aladdín,8.0,465K,1992,90,A
Bailando con lobos,8.0,290K,1990,181,A
"Paris, Texas",8.1,118K,1984,145,A
