Movie,Calification,N.Reviews,Year,Duration,Rating
Monty Python and the Holy Grail,8.2,569K,1975,1h 31m,PG
The Great Escape,8.2,258K,1963,2h 52m,Approved
Finding Nemo,8.2,1.1M,2003,1h 40m,G
Rashomon,8.2,180K,1950,1h 28m,Not Rated
Prisoners,8.2,806K,2013,2h 33m,R
Howl's Moving Castle,8.2,447K,2004,1h 59m,PG
The Elephant Man,8.2,258K,1980,2h 4m,PG
Chinatown,8.1,349K,1974,2h 10m,R
Dial M for Murder,8.2,188K,1954,1h 45m,PG
Gone with the Wind,8.2,333K,1939,3h 58m,Passed
V for Vendetta,8.2,1.2M,2005,2h 12m,R
"Lock, Stock and Two Smoking Barrels",8.1,615K,1998,1h 47m,R
The Secret in Their Eyes,8.2,222K,2009,2h 9m,R
Inside Out,8.1,782K,2015,1h 35m,PG
Raging Bull,8.1,379K,1980,2h 9m,R
"Three Billboards Outside Ebbing, Missouri",8.1,553K,2017,1h 55m,R
Trainspotting,8.1,724K,1996,1h 33m,R
The Bridge on the River Kwai,8.1,233K,1957,2h 41m,PG
Spider-Man: No Way Home,8.2,874K,2021,2h 28m,PG-13
Fargo,8.1,725K,1996,1h 38m,R
Klaus,8.2,189K,2019,1h 36m,PG
Warrior,8.1,497K,2011,2h 20m,PG-13
Catch Me If You Can,8.1,1.1M,2002,2h 21m,PG-13
Godzilla Minus One,8.3,47K,2023,2h 4m,PG-13
Gran Torino,8.1,813K,2008,1h 56m,R
My Neighbor Totoro,8.1,379K,1988,1h 26m,G
Million Dollar Baby,8.1,720K,2004,2h 12m,PG-13
Harry Potter and the Deathly Hallows: Part 2,8.1,945K,2011,2h 10m,PG-13
Children of Heaven,8.2,80K,1997,1h 29m,PG
12 Years a Slave,8.1,740K,2013,2h 14m,R
Blade Runner,8.1,821K,1982,1h 57m,R
Before Sunrise,8.1,338K,1995,1h 41m,R
Ben-Hur,8.1,253K,1959,3h 32m,G
The Grand Budapest Hotel,8.1,884K,2014,1h 39m,R
Barry Lyndon,8.1,183K,1975,3h 5m,PG
Gone Girl,8.1,1.1M,2014,2h 29m,R
Hacksaw Ridge,8.1,591K,2016,2h 19m,R
The Gold Rush,8.1,118K,1925,1h 35m,Passed
Memories of Murder,8.1,215K,2003,2h 12m,Not Rated
In the Name of the Father,8.1,187K,1993,2h 13m,R
Dead Poets Society,8.1,543K,1989,2h 8m,PG
On the Waterfront,8.1,164K,1954,1h 48m,Approved
The General,8.1,98K,1926,1h 18m,Passed
The Deer Hunter,8.1,361K,1978,3h 3m,R
Wild Tales,8.1,216K,2014,2h 2m,R
Mad Max: Fury Road,8.1,1.1M,2015,2,hR
"Monsters, Inc.",8.1,976K,2001,1h 32m,G
Sherlock Jr.,8.2,57K,1924,45m,Passed
The Third Man,8.1,181K,1949,1h 33m,Approved
Wild Strawberries,8.1,115K,1957,1h 31m,Not Rated
The Wages of Fear,8.2,66K,1953,2h 11m,Not Rated
Jaws,8.1,658K,1975,2h 4m,PG
How to Train Your Dragon,8.1,798K,2010,1h 38m,PG
Mary and Max,8.1,186K,2009,1h 32m,Not Rated
Mr. Smith Goes to Washington,8.1,121K,1939,2h 9m,Passed
Ratatouille,8.1,821K,2007,1h 51m,G
Ford v Ferrari,8.1,469K,2019,2h 32m,PG-13
The Big Lebowski,8.1,858K,1998,1h 57m,R
Room,8.1,449K,2015,1h 58m,R
The Seventh Seal,8.1,198K,1957,1h 36m,Not Rated
Tokyo Story,8.1,68K,1953,2h 16m,Not Rated
Rocky,8.1,627K,1976,2h,PG
Logan,8.1,828K,2017,2h 17m,R
Spotlight,8.1,501K,2015,2h 9m,R
Hotel Rwanda,8.1,371K,2004,2h 1m,PG-13
Platoon,8.1,438K,1986,2,hR
The Terminator,8.1,922K,1984,1h 47m,R
The Passion of Joan of Arc,8.1,60K,1928,1h 54m,Passed
Before Sunset,8.1,287K,2004,1h 20m,R
La haine,8.1,196K,1995,1h 38m,Not Rated
The Best Years of Our Lives,8.1,70K,1946,2h 50m,Approved
The Exorcist,8.1,454K,1973,2h 2m,R
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1.2M,2003,2h 23m,PG-13
Jai Bhim,8.7,217K,2021,2h 44m,Approved
Rush,8.1,512K,2013,2h 3m,R
Network,8.1,170K,1976,2h 1m,R
Stand by Me,8.1,440K,1986,1h 29m,R
The Wizard of Oz,8.1,428K,1939,1h 42m,G
The Incredibles,8.0,806K,2004,1h 55m,PG
Hachi: A Dog's Tale,8.1,310K,2009,1h 33m,G
The Handmaiden,8.1,172K,2016,2h 25m,Not Rated
Into the Wild,8.1,657K,2007,2h 28m,R
My Father and My Son,8.2,92K,2005,1h 52m,Not Rated
The Sound of Music,8.1,260K,1965,2h 52m,G
The Grapes of Wrath,8.1,100K,1940,2h 9m,Passed
To Be or Not to Be,8.1,43K,1942,1h 39m,Passed
The Battle of Algiers,8.1,65K,1966,2h 1m,Not Rated
Groundhog Day,8.0,683K,1993,1h 41m,PG
Amores Perros,8.1,252K,2000,2h 34m,R
Rebecca,8.1,146K,1940,2h 10m,Approved
Cool Hand Luke,8.1,188K,1967,2h 7m,GP
The Iron Giant,8.1,226K,1999,1h 26m,PG
The Help,8.1,491K,2011,2h 26m,PG-13
It Happened One Night,8.1,112K,1934,1h 45m,Passed
Aladdin,8.0,465K,1992,1h 30m,G
Dances with Wolves,8.0,290K,1990,3h 1m,PG-13
"Paris, Texas",8.1,118K,1984,2h 25m,R
